text,intent
I need to book an appointment,book
Can I schedule a visit,book
I want to make an appointment,book
Book me a slot,book
I need to see a doctor,book
Schedule an appointment,book
Can I get an appointment,book
I want to book a consultation,book
Make an appointment,book
I need to see a specialist,book
Book appointment with cardiologist,book
Schedule visit with dermatologist,book
I need to see a neurologist,book
Book with orthopedic specialist,book
Make appointment with pediatrician,book
Schedule consultation with psychiatrist,book
Book appointment for tomorrow,book
Schedule for next week,book
I need urgent appointment,book
Book emergency visit,book
I want to see a doctor for my chest pain,book
Book appointment for diabetes management,book
Schedule consultation for heart problems,book
Make appointment for skin condition,book
Book visit for mental health,book
Schedule appointment for child's fever,book
Book consultation for chronic pain,book
Make appointment for digestive issues,book
Schedule visit for respiratory problems,book
Book appointment for women's health,book
Make consultation for elderly care,book
I need to see an oncologist,book
Book appointment for cancer screening,book
Schedule visit for kidney problems,book
Make appointment for liver disease,book
Book consultation for stroke follow-up,book
Schedule appointment for heart attack recovery,book
Book visit for sepsis treatment,book
Make appointment for meningitis symptoms,book
Schedule consultation for appendicitis,book
Book appointment for pneumonia,book
Make visit for diabetic ketoacidosis,book
Schedule appointment for pulmonary embolism,book
Book consultation for aortic dissection,book
I need to reschedule my appointment,reschedule
Can I change my appointment time,reschedule
I need to move my appointment,reschedule
Change my booking,reschedule
Postpone my appointment,reschedule
Move my appointment,reschedule
Can I reschedule,reschedule
I need to change my appointment date,reschedule
Reschedule for next week,reschedule
Change appointment to tomorrow,reschedule
Move my doctor visit,reschedule
I need to postpone my consultation,reschedule
Cancel my appointment,cancel
I can't make it to my appointment,cancel
I need to cancel my booking,cancel
I won't be able to attend,cancel
Cancel my visit,cancel
I'm no longer available,cancel
Can't make the appointment,cancel
I need to cancel my doctor visit,cancel
Cancel my consultation,cancel
I can't attend my appointment,cancel
When is Dr. Ahmed available,availability
What are the available slots,availability
Show me free appointments,availability
When can I see a cardiologist,availability
Next available appointment,availability
Open slots for this week,availability
Available times for tomorrow,availability
When is the doctor free,availability
Show me available appointments,availability
What times are available,availability
Available slots for cardiologist,availability
When can I see a specialist,availability
Next available time,availability
Show me free slots,availability
Available appointments this week,availability
When is the next opening,availability
Hello,greeting
Hi there,greeting
Good morning,greeting
Good afternoon,greeting
Hey,greeting
Welcome,greeting
Hi,greeting
Good evening,greeting
Hello there,greeting
I have a severe headache,symptom_inquiry
My chest hurts,symptom_inquiry
I'm experiencing fever,symptom_inquiry
I have pain in my back,symptom_inquiry
I feel dizzy,symptom_inquiry
I have a rash on my skin,symptom_inquiry
I'm coughing a lot,symptom_inquiry
I feel nauseous,symptom_inquiry
I have joint pain,symptom_inquiry
My stomach hurts,symptom_inquiry
I have abdominal pain,symptom_inquiry
I'm feeling fatigued,symptom_inquiry
I have shortness of breath,symptom_inquiry
My head is pounding,symptom_inquiry
I have skin problems,symptom_inquiry
I'm experiencing anxiety,symptom_inquiry
I have depression symptoms,symptom_inquiry
I feel weak and tired,symptom_inquiry
I have vision problems,symptom_inquiry
I'm having trouble sleeping,symptom_inquiry
I have frequent urination,symptom_inquiry
I'm experiencing excessive thirst,symptom_inquiry
I have blurred vision,symptom_inquiry
I have slow healing wounds,symptom_inquiry
I'm losing weight unexpectedly,symptom_inquiry
I have nosebleeds,symptom_inquiry
I'm experiencing chest pain,symptom_inquiry
I have vision problems,symptom_inquiry
I'm wheezing,symptom_inquiry
I have chest tightness,symptom_inquiry
I'm breathing rapidly,symptom_inquiry
I have nausea and vomiting,symptom_inquiry
I'm sensitive to light,symptom_inquiry
I'm sensitive to sound,symptom_inquiry
I'm experiencing aura,symptom_inquiry
I have persistent sadness,symptom_inquiry
I'm losing interest in activities,symptom_inquiry
I have sleep problems,symptom_inquiry
I have appetite changes,symptom_inquiry
I have concentration issues,symptom_inquiry
I'm excessively worried,symptom_inquiry
I feel restless,symptom_inquiry
I have rapid heartbeat,symptom_inquiry
I'm sweating excessively,symptom_inquiry
I'm trembling,symptom_inquiry
I have difficulty concentrating,symptom_inquiry
I have stiffness in my joints,symptom_inquiry
I have swelling,symptom_inquiry
I have reduced range of motion,symptom_inquiry
I feel weak,symptom_inquiry
I have bloating,symptom_inquiry
I have loss of appetite,symptom_inquiry
I have indigestion,symptom_inquiry
I have unexplained weight loss,symptom_inquiry
I have persistent pain,symptom_inquiry
I have lumps,symptom_inquiry
I have changes in my skin,symptom_inquiry
I have unusual bleeding,symptom_inquiry
I have night sweats,symptom_inquiry
I have irregular heartbeat,symptom_inquiry
I have swelling in my legs,symptom_inquiry
I have changes in urination,symptom_inquiry
I have confusion,symptom_inquiry
I have itchy skin,symptom_inquiry
I have jaundice,symptom_inquiry
I have dark urine,symptom_inquiry
I have blue lips,symptom_inquiry
I have sudden numbness,symptom_inquiry
I have difficulty speaking,symptom_inquiry
I have loss of balance,symptom_inquiry
