text,intent
"It's about a 7, and it gets worse when I breathe deeply",medical_consultation
About three weeks now,medical_consultation
"Yes, I lost my job last month",medical_consultation
I need to book an appointment with a cardiologist,book
Can I schedule a visit with Dr. Smith?,book
I want to make an appointment for tomorrow,book
Book me a slot with the dermatologist,book
I need to see a doctor for my headache,book
Schedule an appointment with Dr. Johnson,book
Can I get an appointment for next week?,book
I want to book a consultation,book
Make an appointment with the pediatrician,book
I need to see a specialist,book
Book appointment for diabetes management,book
Schedule consultation for heart problems,book
Make appointment for skin condition,book
Book visit for mental health,book
Schedule appointment for child's fever,book
Book consultation for chronic pain,book
Make appointment for digestive issues,book
Schedule visit for respiratory problems,book
Book appointment for women's health,book
Make consultation for elderly care,book
I have a severe headache,symptom_inquiry
My chest hurts,symptom_inquiry
I'm experiencing fever,symptom_inquiry
I have pain in my back,symptom_inquiry
I feel dizzy,symptom_inquiry
I have a rash on my skin,symptom_inquiry
I'm coughing a lot,symptom_inquiry
I feel nauseous,symptom_inquiry
I have joint pain,symptom_inquiry
My stomach hurts,symptom_inquiry
I have abdominal pain,symptom_inquiry
I'm feeling fatigued,symptom_inquiry
I have shortness of breath,symptom_inquiry
My head is pounding,symptom_inquiry
I have skin problems,symptom_inquiry
I'm experiencing anxiety,symptom_inquiry
I have depression symptoms,symptom_inquiry
I feel weak and tired,symptom_inquiry
I have vision problems,symptom_inquiry
I'm having trouble sleeping,symptom_inquiry
I think I'm having a heart attack,emergency_guidance
This is an emergency,emergency_guidance
I need immediate help,emergency_guidance
Someone is bleeding severely,emergency_guidance
I'm having trouble breathing,emergency_guidance
Urgent medical attention needed,emergency_guidance
Critical situation,emergency_guidance
Emergency help needed,emergency_guidance
I'm experiencing severe chest pain,emergency_guidance
I think I'm having a stroke,emergency_guidance
I need urgent care,emergency_guidance
I have severe head injury,emergency_guidance
I'm experiencing severe abdominal pain,emergency_guidance
I have difficulty breathing and chest tightness,emergency_guidance
I'm experiencing severe dizziness and confusion,emergency_guidance
I have severe burns and need urgent care,emergency_guidance
What are the symptoms of diabetes?,medical_inquiry
How often should I take my blood pressure medication?,medical_inquiry
When should I see a cardiologist?,medical_inquiry
What causes chronic fatigue?,medical_inquiry
How do I know if I need emergency care?,medical_inquiry
I have frequent urination,symptom_inquiry
I have excessive thirst,symptom_inquiry
I have fatigue,symptom_inquiry
I have blurred vision,symptom_inquiry
I have slow healing,symptom_inquiry
I have weight loss,symptom_inquiry
I have headache,symptom_inquiry
I have nosebleeds,symptom_inquiry
I have chest pain,symptom_inquiry
I have dizziness,symptom_inquiry
I have wheezing,symptom_inquiry
I have coughing,symptom_inquiry
I have chest tightness,symptom_inquiry
I have rapid breathing,symptom_inquiry
I have unexplained weight loss,symptom_inquiry
I have persistent pain,symptom_inquiry
I have lumps,symptom_inquiry
I have changes in skin,symptom_inquiry
I have unusual bleeding,symptom_inquiry
I have irregular heartbeat,symptom_inquiry
I have swelling in legs,symptom_inquiry
I have persistent sadness,symptom_inquiry
I have loss of interest,symptom_inquiry
I have sleep problems,symptom_inquiry
I have appetite changes,symptom_inquiry
I have concentration issues,symptom_inquiry
I have stiffness,symptom_inquiry
I have swelling,symptom_inquiry
I have reduced range of motion,symptom_inquiry
I have weakness,symptom_inquiry
I have changes in urination,symptom_inquiry
I have nausea,symptom_inquiry
I have confusion,symptom_inquiry
I have jaundice,symptom_inquiry
I have loss of appetite,symptom_inquiry
