text,intent
I need to book an appointment with a cardiologist,book
Can I schedule a visit with Dr. Smith?,book
I want to make an appointment for tomorrow,book
Book me a slot with the dermatologist,book
I need to see a doctor for my headache,book
Schedule an appointment with Dr. Johnson,book
Can I get an appointment for next week?,book
I want to book a consultation,book
Make an appointment with the pediatrician,book
I need to see a specialist,book
Book appointment for diabetes management,book
Schedule consultation for heart problems,book
Make appointment for skin condition,book
Book visit for mental health,book
Schedule appointment for child's fever,book
Book consultation for chronic pain,book
Make appointment for digestive issues,book
Schedule visit for respiratory problems,book
Book appointment for women's health,book
Make consultation for elderly care,book
I have a severe headache,symptom_inquiry
My chest hurts,symptom_inquiry
I'm experiencing fever,symptom_inquiry
I have pain in my back,symptom_inquiry
I feel dizzy,symptom_inquiry
I have a rash on my skin,symptom_inquiry
I'm coughing a lot,symptom_inquiry
I feel nauseous,symptom_inquiry
I have joint pain,symptom_inquiry
My stomach hurts,symptom_inquiry
I have abdominal pain,symptom_inquiry
I'm feeling fatigued,symptom_inquiry
I have shortness of breath,symptom_inquiry
My head is pounding,symptom_inquiry
I have skin problems,symptom_inquiry
I'm experiencing anxiety,symptom_inquiry
I have depression symptoms,symptom_inquiry
I feel weak and tired,symptom_inquiry
I have vision problems,symptom_inquiry
I'm having trouble sleeping,symptom_inquiry
I think I'm having a heart attack,emergency_guidance
This is an emergency,emergency_guidance
I need immediate help,emergency_guidance
Someone is bleeding severely,emergency_guidance
I'm having trouble breathing,emergency_guidance
Urgent medical attention needed,emergency_guidance
Critical situation,emergency_guidance
Emergency help needed,emergency_guidance
I'm experiencing severe chest pain,emergency_guidance
I think I'm having a stroke,emergency_guidance
I need urgent care,emergency_guidance
I have severe head injury,emergency_guidance
I'm experiencing severe abdominal pain,emergency_guidance
I have difficulty breathing and chest tightness,emergency_guidance
I'm experiencing severe dizziness and confusion,emergency_guidance
I have severe burns and need urgent care,emergency_guidance
